City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vallenar,CL,-28.5708,-70.7581,86.22,24,1,9.46,clear sky
1,Luwuk,ID,-0.9516,122.7875,77.79,87,100,1.83,moderate rain
2,Mana,GF,5.6592,-53.7767,80.87,73,95,11.21,overcast clouds
3,Souillac,MU,-20.5167,57.5167,79.18,83,40,0.0,scattered clouds
4,Sapa,PH,5.1544,120.3241,79.25,82,98,8.55,overcast clouds
5,Olafsvik,IS,64.8945,-23.7142,34.12,68,100,21.39,overcast clouds
6,San Juan,AR,-31.5375,-68.5364,85.39,15,43,7.63,scattered clouds
7,Barrow,US,71.2906,-156.7887,-2.18,71,0,20.71,haze
8,Nikolskoye,RU,59.7035,30.7861,26.8,84,91,4.36,overcast clouds
9,Vaini,TO,-21.2,-175.2,77.16,94,40,6.91,light intensity shower rain
10,Faya,SA,18.3851,42.4509,61.32,49,0,7.07,clear sky
11,Nevinnomyssk,RU,44.6267,41.9453,34.14,91,100,22.32,light snow
12,Rikitea,PF,-23.1203,-134.9692,78.87,70,3,11.48,clear sky
13,Castro,BR,-24.7911,-50.0119,77.83,55,3,7.14,clear sky
14,Qaanaaq,GL,77.484,-69.3632,7.41,77,100,5.75,overcast clouds
15,Lac Du Bonnet,CA,50.2536,-96.0612,14.65,55,28,6.49,scattered clouds
16,Pankrushikha,RU,53.8319,80.3406,19.11,93,99,7.65,overcast clouds
17,Guerrero Negro,MX,27.9769,-114.0611,69.06,52,100,8.41,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,84.16,81,73,11.16,light rain
19,Hobart,AU,-42.8794,147.3294,61.05,76,94,5.75,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,47.1,98,13,1.52,few clouds
21,Antsohihy,MG,-14.8796,47.9875,76.3,96,88,3.67,overcast clouds
22,Charters Towers,AU,-20.1,146.2667,70.88,90,6,4.54,clear sky
23,Norman Wells,CA,65.282,-126.8329,8.24,90,99,1.77,overcast clouds
24,Decatur,US,39.8403,-88.9548,37.45,38,0,9.22,clear sky
25,Avarua,CK,-21.2078,-159.775,80.65,83,40,6.91,scattered clouds
26,Iqaluit,CA,63.7506,-68.5145,19.13,92,100,0.0,mist
27,Whitley Bay,GB,55.0397,-1.4471,57.81,68,0,4.61,clear sky
28,Faanui,PF,-16.4833,-151.75,81.37,74,29,12.06,scattered clouds
29,Bathsheba,BB,13.2167,-59.5167,86.61,58,20,19.57,few clouds
30,Bay Roberts,CA,47.5999,-53.2648,45.03,86,99,5.01,light rain
31,Malakal,SS,9.5334,31.6605,88.74,14,98,5.55,overcast clouds
32,Biak,ID,-0.9131,122.8766,76.41,84,100,2.75,light rain
33,San Patricio,US,28.017,-97.5169,82.49,34,100,16.02,overcast clouds
34,College,US,64.8569,-147.8028,32.79,81,20,0.0,few clouds
35,Dikson,RU,73.5069,80.5464,-16.33,98,14,4.85,few clouds
36,Sur,OM,22.5667,59.5289,80.92,49,0,5.57,clear sky
37,Tiksi,RU,71.6872,128.8694,-15.12,100,77,5.75,broken clouds
38,Katsuura,JP,35.1333,140.3,55.47,77,100,10.18,overcast clouds
39,Dingle,PH,10.9995,122.6711,76.78,87,72,6.42,broken clouds
40,Port Elizabeth,ZA,-33.918,25.5701,73.09,92,76,4.0,broken clouds
41,Bluff,NZ,-46.6,168.3333,52.41,89,12,2.86,few clouds
42,Albany,US,42.6001,-73.9662,40.03,58,100,3.0,overcast clouds
43,Hithadhoo,MV,-0.6,73.0833,82.56,64,0,4.92,clear sky
44,Nchelenge,ZM,-9.3451,28.734,74.14,77,45,2.28,scattered clouds
45,Atuona,PF,-9.8,-139.0333,78.96,78,32,17.72,scattered clouds
46,Rawson,AR,-43.3002,-65.1023,68.97,24,0,22.03,clear sky
47,New Norfolk,AU,-42.7826,147.0587,60.71,64,99,2.48,overcast clouds
48,Bethel,US,41.3712,-73.414,45.54,56,100,12.66,overcast clouds
49,Saint-Philippe,RE,-21.3585,55.7679,79.21,87,90,9.22,light rain
50,Blagoyevo,RU,63.3667,47.9167,14.79,92,100,13.24,light snow
51,Cockburn Town,TC,21.4612,-71.1419,76.51,74,95,18.88,overcast clouds
52,Upernavik,GL,72.7868,-56.1549,27.12,72,100,1.9,overcast clouds
53,Plettenberg Bay,ZA,-34.0527,23.3716,66.7,78,100,3.49,overcast clouds
54,Vila,PT,42.0304,-8.1588,57.7,52,98,0.47,overcast clouds
55,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,20,24,26.46,few clouds
56,Bredasdorp,ZA,-34.5322,20.0403,65.61,83,87,5.48,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,50.11,57,0,27.63,clear sky
58,Chicama,PE,-7.8447,-79.1469,72.14,57,100,8.61,overcast clouds
59,Ostrovnoy,RU,68.0531,39.5131,17.04,76,100,6.26,light snow
60,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,64,0,6.91,clear sky
61,Kedougou,SN,12.5579,-12.1743,106.38,14,0,4.61,clear sky
62,Ornskoldsvik,SE,63.2909,18.7153,34.75,100,100,4.61,overcast clouds
63,Henties Bay,NA,-22.116,14.2845,65.66,81,4,3.98,clear sky
64,Pathein,MM,16.7833,94.7333,79.88,80,3,10.54,clear sky
65,Saint George,US,37.1041,-113.5841,75.63,17,0,1.01,clear sky
66,Jamestown,US,42.097,-79.2353,23.52,62,100,21.85,overcast clouds
