City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-03-25 15:30:04,73.5069,80.5464,9.91,92,100,10.54
1,Touros,BR,2022-03-25 15:30:05,-5.1989,-35.4608,84.51,70,81,11.25
2,Matagami,CA,2022-03-25 15:30:06,49.7502,-77.6328,33.91,93,100,6.91
3,Hami,CN,2022-03-25 15:30:07,42.8,93.45,42.96,27,0,8.25
4,Busselton,AU,2022-03-25 15:30:08,-33.65,115.3333,71.74,52,100,3.98
5,Los Chiles,CR,2022-03-25 15:30:09,11.0333,-84.7167,85.66,53,97,9.22
6,Dalbandin,PK,2022-03-25 15:30:10,28.8947,64.4101,79.41,9,0,7.14
7,Ketchikan,US,2022-03-25 15:27:42,55.3422,-131.6461,39.67,87,100,11.5
8,The Valley,AI,2022-03-25 15:30:11,18.217,-63.0578,82.09,69,40,17.27
9,Ushuaia,AR,2022-03-25 15:29:22,-54.8,-68.3,56.86,47,40,18.41
10,Haines Junction,CA,2022-03-25 15:30:12,60.7522,-137.5108,21.15,86,100,2.3
11,Cape Town,ZA,2022-03-25 15:25:23,-33.9258,18.4232,74.26,49,20,19.57
12,Nicolas Ruiz,MX,2022-03-25 15:30:14,16.4,-92.5333,75.72,51,98,3.65
13,Cherskiy,RU,2022-03-25 15:30:14,68.75,161.3,0.27,97,99,12.88
14,Ambon,ID,2022-03-25 15:30:15,-3.6954,128.1814,78.94,89,40,5.75
15,Klaksvik,FO,2022-03-25 15:30:16,62.2266,-6.589,41.92,93,100,15.46
16,Puerto Cabezas,NI,2022-03-25 15:30:16,14.0351,-83.3888,82.36,78,75,6.91
17,Saint George,US,2022-03-25 15:28:31,37.1041,-113.5841,52.39,32,0,0.0
18,El Alto,PE,2022-03-25 15:30:17,-4.2714,-81.2147,82.06,66,92,8.37
19,Lebu,CL,2022-03-25 15:30:18,-37.6167,-73.65,60.13,67,1,19.15
20,Kapaa,US,2022-03-25 15:30:18,22.0752,-159.319,73.38,80,100,20.71
21,Butaritari,KI,2022-03-25 15:30:19,3.0707,172.7902,80.17,77,23,11.14
22,Palmer,US,2022-03-25 15:30:19,42.1584,-72.3287,53.49,78,75,4.61
23,Saldanha,ZA,2022-03-25 15:30:20,-33.0117,17.9442,77.05,70,0,19.69
24,Qinzhou,CN,2022-03-25 15:30:21,21.95,108.6167,75.43,90,11,10.33
25,Sao Filipe,CV,2022-03-25 15:30:21,14.8961,-24.4956,71.94,71,7,11.68
26,Georgetown,MY,2022-03-25 15:25:45,5.4112,100.3354,81.95,88,40,8.05
27,Nikolskoye,RU,2022-03-25 15:30:22,59.7035,30.7861,44.71,90,100,11.9
28,Uttarkashi,IN,2022-03-25 15:30:23,30.7333,78.45,60.67,28,0,7.49
29,Bartica,GY,2022-03-25 15:30:23,6.4,-58.6167,82.72,91,100,4.52
30,Mataura,NZ,2022-03-25 15:30:24,-46.1927,168.8643,49.8,99,89,2.08
31,Airai,TL,2022-03-25 15:30:24,-8.9266,125.4092,59.79,93,78,0.96
32,Bargarh,IN,2022-03-25 15:30:25,21.3333,83.6167,89.13,24,34,5.35
33,Yar-Sale,RU,2022-03-25 15:30:25,66.8333,70.8333,8.22,93,100,14.63
34,Bredasdorp,ZA,2022-03-25 15:30:26,-34.5322,20.0403,64.53,60,100,13.49
35,Guerrero Negro,MX,2022-03-25 15:30:26,27.9769,-114.0611,70.5,38,69,2.28
36,Punta Arenas,CL,2022-03-25 15:27:33,-53.15,-70.9167,55.51,54,75,17.27
37,Bethel,US,2022-03-25 15:30:27,41.3712,-73.414,55.18,83,40,1.99
38,Saint-Georges,GD,2022-03-25 15:30:28,12.0564,-61.7485,85.68,66,20,32.21
39,Bilibino,RU,2022-03-25 15:30:28,68.0546,166.4372,-5.96,100,100,1.95
40,Develi,TR,2022-03-25 15:26:28,38.3906,35.4922,38.55,76,98,9.17
41,Neuquen,AR,2022-03-25 15:30:29,-38.9516,-68.0591,66.09,45,0,2.3
42,Port Alfred,ZA,2022-03-25 15:30:29,-33.5906,26.891,65.98,74,99,9.04
43,Vila,PT,2022-03-25 15:30:30,42.0304,-8.1588,58.08,59,78,7.4
44,Port Elizabeth,ZA,2022-03-25 15:30:30,-33.918,25.5701,66.49,62,20,8.05
45,Hermanus,ZA,2022-03-25 15:31:31,-34.4187,19.2345,67.8,66,97,16.55
46,Avarua,CK,2022-03-25 15:31:31,-21.2078,-159.775,77.05,88,20,10.36
47,Rikitea,PF,2022-03-25 15:31:32,-23.1203,-134.9692,79.09,70,22,18.1
48,Pangnirtung,CA,2022-03-25 15:31:32,66.1451,-65.7125,8.6,78,75,0.0
49,Buin,CL,2022-03-25 15:31:33,-33.7333,-70.75,77.32,10,0,7.47
50,Bud,US,2022-03-25 15:31:33,39.447,-86.1758,43.75,86,100,13.24
51,Chokurdakh,RU,2022-03-25 15:31:33,70.6333,147.9167,-10.79,99,100,4.92
